"t, Time, (yr)","A, Total factor productivity, ($)","L, Population, (persons)","theta1, Marginal abatement cost at mu=1, ($/tCO2)","sigma, Carbon intensity of GDP, (tCO2/$)","f, Control: log10(marginal_abatement_cost), (log10($/tCO2))","s, Savings rate, (dimensionless)","K, Capital stock, ($)","gini, Background Gini index, (dimensionless)","Gini, Gini index, (dimensionless)","Ecum, Cumulative CO2 emissions, (tCO2)","delta_T, Global mean temperature change, (°C)","y_gross, Per-capita gross income, ($/person/yr)","y_damaged, Per-capita income after climate damage, ($/person/yr)","y_net, Per-capita net income after abatement, ($/person/yr)","climate_damage, Per-capita climate damage, ($/person/yr)","tax_amount, Per-capita tax amount, ($/person/yr)","mu, Abatement fraction, (dimensionless)","Omega, Climate damage as fraction of gross output, (dimensionless)","Omega_base, Base damage from temperature before income adjustment, (dimensionless)","Omega_calc, Climate damage from previous timestep (lagged), (dimensionless)","lambda_abate, Abatement cost as fraction of damaged output, (dimensionless)","abateCost_amount, Abatement expenditure per capita, ($/person/yr)","U, Mean utility per capita, (dimensionless)","aggregate_utility, Aggregate utility from integration, (dimensionless)","e, CO2 emissions, (tCO2/yr)","emission_ratio, Ratio of CO2e to industrial CO2, (dimensionless)","E_extra, Extra emission pulse, (tCO2/yr)","consumption_extra, Extra consumption pulse, ($/person/yr)","dK_dt, Net capital accumulation, ($/yr)","log_deltaU_norm, Log normalized utility-loss (log deltaU), (dimensionless)","max_average_tax_rate, Maximum average tax rate across income bins, (dimensionless)","max_marginal_tax_rate, Maximum marginal tax rate across income bins, (dimensionless)",AbateCost,Climate_damage,Consumption,E,H1,H2,H3,Lambda,Savings,Y_damaged,Y_gross,Y_net,consumption,dEcum_dt,mac_over_wmac,marginal_abatement_cost,mu_dollar_cost,mu_dollar_numeraire,r_consumption,savings,welfare_adjusted_mac
2020.0,739.6190000000007,7752000000.0,6035.6,0.0002913549999999999,1.9589772106127405,0.48051798633000825,295000000000000.0,0.57313,0.57313,2327128215854.4233,1.1696599999999997,17503.727145280773,17420.70314539412,17400.60823612532,83.02399988665066,20.094909268798055,0.07267925643103684,0.004743218355585197,0.004743218355585198,0.004743218355585198,0.0011535073585196229,20.094909268798055,-236455416.8078701,-0.030502504748177256,7.326586582878714,1.4,0.0,0.0,35316838147148.375,-676.1782593288375,0.021868306534373994,0.9960687428170694,155775736651.72253,643602047121.3159,70072676899295.12,56795699190.47579,-0.07022,0.21036,-0.08308,0.0011535073585196229,64816838147148.375,135045290783095.22,135688892830216.55,134889515046443.48,9039.303005585027,56795699190.47579,1.0,90.98655266378839,1.6872145035884936e-06,1.6872145035884936e-06,1.0476352648545357,8361.305230540296,90.98655266378839
2021.0,749.4392757472212,7832251487.344443,4937.569188788617,0.0002869469393703804,2.3134375154275384,0.20858447382396272,330316838147148.4,0.5710759862923859,0.5710759862923859,2383923915044.899,1.1959649384052307,18291.514936293126,18200.808017797153,18113.145291497134,90.70691849597476,87.6627263000216,0.13723114934784736,0.004958961508212673,0.004958961508212672,0.004958961508212671,0.004816419480624324,87.6627263000216,-189145714.52955773,-0.024149596681769518,6.9629385411473,1.3970840409436769,0.0,0.0,-3440490933563.6406,-657.8313143543107,0.09130005282696174,0.9999999999615996,686596518448.0131,710439397302.5295,112275516268663.23,54535485745.18889,-0.07461026899875217,0.21600533113147077,-0.08518414751045396,0.004816419480624324,29591192881151.203,142553305668262.44,143263745065564.94,141866709149814.44,14335.024411573217,54535485745.18889,1.0,205.79627776953907,8.423349924187429e-07,8.423349924187429e-07,0.02685935876109591,3778.1208799239175,205.79627776953907
2022.0,759.3749267602893,7910820339.096546,4059.769804874857,0.0002826406030102666,2.3072567256475827,0.21283812138667213,326876347213584.75,0.5690435894947019,0.5690435894947019,2438459400790.088,1.224092684447278,18420.645543959887,18324.950974599295,18229.30532434255,95.6945693605925,95.64565025674406,0.15371706116700232,0.005194962854706829,0.005194962854706829,0.00519496285470683,0.005219421890368005,95.64565025674406,-190275674.0971622,-0.024052584427532657,6.748004431564733,1.3941741553282239,0.0,0.0,-1994513298609.8008,-654.8345127528107,0.09925798523661555,0.9999999999957596,756635555397.1658,757022545638.8602,113515637904661.33,53382250705.53592,-0.07561979680657141,0.22103392757322746,-0.08714888583711917,0.005219421890368005,30693121422748.676,144965394882807.2,145722417428446.03,144208759327410.0,14349.414224925422,53382250705.53592,1.0,202.88817033231544,8.381069929428084e-07,8.381069929428084e-07,0.02980879456279384,3879.891099417128,202.88817033231544
2023.0,769.427109958828,7987717781.36314,3358.004875731523,0.00027843312404643265,2.3025490688465537,0.21660876324347642,324881833914974.94,0.567032582105645,0.567032582105645,2491841651495.624,1.2525504689157447,18576.26076700658,18475.218610104937,18370.52718990673,101.04215690164409,104.69142019820814,0.17190651714814667,0.0054393162417867074,0.0054393162417867074,0.0054393162417867074,0.00566658627470571,104.69142019820814,-191180756.1132211,-0.023934340364313078,6.533146479616072,1.391270330503709,0.0,0.0,-703319608950.332,-651.5891204700148,0.10810082797407727,0.9999999999996418,836245518673.3873,807096233350.5469,114953722905285.86,52184930303.479294,-0.0754534588249535,0.22568775726160573,-0.08903332310096528,0.00566658627470571,31784863782547.164,147574832206506.4,148381928439856.94,146738586687833.03,14391.310015170377,52184930303.479294,1.0,200.70078393795933,8.31557992491575e-07,8.31557992491575e-07,0.033025714189673705,3979.217174736353,200.70078393795933
2024.0,779.596991501509,8062956561.399988,2796.9470921655156,0.00027432172967518736,2.3008800533758276,0.21965125637451283,324178514306024.6,0.565042739018188,0.565042739018188,2544026581799.1035,1.2808232426432042,18756.729994712496,18650.04843210858,18534.49567622753,106.6815626039155,115.55275588105049,0.1922526683913142,0.005687641856229147,0.005687641856229147,0.005687641856229147,0.006195842134227963,115.55275588105049,-191839597.62278664,-0.023792711291684934,6.313595556416229,1.388372553846548,0.0,0.0,407454709304.2539,-647.8665905943043,0.11856633309182063,0.9999999999999813,931696851218.967,860168805177.644,116617527384971.75,50906246717.63204,-0.07460823120183774,0.22996835385414613,-0.09083598876725581,0.006195842134227963,32825306139906.723,150374530376097.44,151234699181275.1,149442833524878.47,14463.370414676177,50906246717.63204,1.0,199.93096094321893,8.225176628623158e-07,8.225176628623158e-07,0.03526510468829036,4071.125261551352,199.93096094321893
2025.0,789.885746834912,8136550834.027715,2348.3588011236193,0.00027030373767847766,2.3010562163806165,0.2223596978266,324585969015328.9,0.5630738374943813,0.5630738374943813,2594932828516.7354,1.3086176637800149,18959.684115910502,18847.11727056737,18719.183038999774,112.56684534313197,127.934231567595,0.21450249710379524,0.005937168818581142,0.005937168818581141,0.005937168818581141,0.006787999975326926,127.934231567595,-192313587.18282166,-0.023635763003968545,6.089986822477482,1.3854808127594485,0.0,0.0,1408916254695.3516,-643.7506800716171,0.13030070306426456,0.9999999999999993,1040943378562.0099,915905859360.5292,118442071212062.81,49551487359.64695,-0.0733358769861405,0.23386964071113603,-0.09255348525883185,0.006787999975326926,33867513156228.242,153350527746853.1,154266433606213.62,152309584368291.06,14556.791154886967,49551487359.64695,1.0,200.012075450777,8.11846616861532e-07,8.11846616861532e-07,0.03765559353175174,4162.391884112806,200.012075450777
2026.0,800.2945607424174,8208516052.191165,1989.6692190028818,0.0002663765530827186,2.301592932540849,0.22461243346319937,325994885270024.25,0.5611256571404205,0.5611256571404205,2644484315876.3823,1.3357528695554484,19183.758807376897,19065.08912530627,18923.90379324071,118.66968207062851,141.18533206556123,0.23809897841871225,0.0061859452707983065,0.0061859452707983065,0.006185945270798308,0.007405437820805004,141.18533206556123,-192597003.29961395,-0.023463072018748442,5.86558076231069,1.3825950946713572,0.0,0.0,2291170797548.297,-639.4329760505202,0.14259047140600478,1.0,1158922064594.0994,974101990185.1763,120446508732386.9,48147713842.85099,-0.07177914094404184,0.23738678451336434,-0.09418272543437285,0.007405437820805004,34890659324550.72,156496090121531.72,157470192111716.9,155337168056937.62,14673.359711617444,48147713842.85099,1.0,200.25941010086484,7.995108146598323e-07,7.995108146598323e-07,0.03957280214754588,4250.544081623265,200.25941010086484
2027.0,810.8246273931094,8278868861.719479,1702.8371767166157,0.0002625376649539717,2.3040980363307666,0.2265250097064074,328286056067572.56,0.5591979798819762,0.5591979798819762,2692632029719.2334,1.3621117975351904,19427.25143854515,19302.28577151105,19146.158638043828,124.96566703409981,156.12713346722327,0.2633771359489262,0.006432493419329426,0.006432493419329426,0.006432493419329426,0.00808853082559046,156.12713346722327,-192715872.45689714,-0.023278043857898608,5.63664679470473,1.379715387037404,0.0,0.0,3077542178320.047,-634.6733368428495,0.1562195775127595,1.0,1292556063731.316,1034574369592.6133,122602388784965.16,46665059633.191895,-0.0700340926905785,0.2405205806468655,-0.09572206382986227,0.00808853082559046,35906147785077.305,159801092633773.78,160835667003366.4,158508536570042.47,14809.074866720533,46665059633.191895,1.0,201.417887323161,7.859347447078149e-07,7.859347447078149e-07,0.041358428019216076,4337.083771323294,201.417887323161
2028.0,821.477150390716,8347627000.319342,1473.4420946140226,0.00025878464332340217,2.3076061168002435,0.22810824506857863,331363598245892.6,0.5572905899397829,0.5572905899397829,2739297089352.4253,1.3876202151872568,19688.74420338407,19557.30857840753,19385.043333947382,131.43562497653937,172.26524446014633,0.2897648168017422,0.00667567335015447,0.006675673350154471,0.006675673350154471,0.008808228584700952,172.26524446014633,-192682079.96502122,-0.023082257982735704,5.4065649660472195,1.3768416773388468,0.0,0.0,3775913635387.953,-629.6161984439692,0.1706367230497169,1.0,1438006005872.1294,1097175571858.0073,124906837676842.4,45131987689.5564,-0.06813514670785331,0.2432657393427009,-0.09716831586698554,0.008808228584700952,36912273459977.21,163257117142691.78,164354292714549.78,161819111136819.62,14963.155118462297,45131987689.5564,1.0,203.051460120299,7.712971869166278e-07,7.712971869166278e-07,0.042891032738686,4421.888215485086,203.051460120299
2029.0,832.2533428225427,8414809200.811381,1289.9573849759238,0.0002551151362372384,2.3117299848242117,0.22942848812293026,335139511881280.56,0.5554032738054854,0.5554032738054854,2784429077041.9814,1.4122193619277217,19966.868426103254,19828.808346083926,19639.538420857465,138.06008001932867,189.26992522646296,0.3167536576571648,0.0069144583453476785,0.006914458345347678,0.006914458345347676,0.009545199183078628,189.26992522646296,-192514438.63514784,-0.022878051544720113,5.178221822412867,1.3739739530830188,0.0,0.0,4402081841284.832,-624.3599406389795,0.18547239525045112,1.0,1592670308232.5227,1161749231611.4023,127346935574107.14,43573748635.08208,-0.06611926392672025,0.24562289677815075,-0.09851981265748028,0.009545199183078628,37916033029412.89,166855638911752.53,168017388143363.94,165262968603520.03,15133.668813527936,43573748635.08208,1.0,204.98873001355858,7.55857609198668e-07,7.55857609198668e-07,0.04413650509566547,4505.86960732953,204.98873001355858
