"t, Time, (yr)","A, Total factor productivity, ($)","L, Population, (persons)","theta1, Marginal abatement cost at mu=1, ($/tCO2)","sigma, Carbon intensity of GDP, (tCO2/$)","f, Control: log10(marginal_abatement_cost), (log10($/tCO2))","s, Savings rate, (dimensionless)","K, Capital stock, ($)","gini, Background Gini index, (dimensionless)","Gini, Gini index, (dimensionless)","Ecum, Cumulative CO2 emissions, (tCO2)","delta_T, Global mean temperature change, (°C)","y_gross, Per-capita gross income, ($/person/yr)","y_damaged, Per-capita income after climate damage, ($/person/yr)","y_net, Per-capita net income after abatement, ($/person/yr)","climate_damage, Per-capita climate damage, ($/person/yr)","tax_amount, Per-capita tax amount, ($/person/yr)","mu, Abatement fraction, (dimensionless)","Omega, Climate damage as fraction of gross output, (dimensionless)","Omega_base, Base damage from temperature before income adjustment, (dimensionless)","Omega_calc, Climate damage from previous timestep (lagged), (dimensionless)","lambda_abate, Abatement cost as fraction of damaged output, (dimensionless)","abateCost_amount, Abatement expenditure per capita, ($/person/yr)","U, Mean utility per capita, (dimensionless)","aggregate_utility, Aggregate utility from integration, (dimensionless)","e, CO2 emissions, (tCO2/yr)","emission_ratio, Ratio of CO2e to industrial CO2, (dimensionless)","E_extra, Extra emission pulse, (tCO2/yr)","consumption_extra, Extra consumption pulse, ($/person/yr)","dK_dt, Net capital accumulation, ($/yr)","log_deltaU_norm, Log normalized utility-loss (log deltaU), (dimensionless)","max_average_tax_rate, Maximum average tax rate across income bins, (dimensionless)","max_marginal_tax_rate, Maximum marginal tax rate across income bins, (dimensionless)",AbateCost,Climate_damage,Consumption,E,H1,H2,H3,Lambda,Savings,Y_damaged,Y_gross,Y_net,consumption,dEcum_dt,mac_over_wmac,marginal_abatement_cost,mu_dollar_cost,mu_dollar_numeraire,r_consumption,savings,welfare_adjusted_mac
2020.0,739.6190000000007,7752000000.0,6035.6,0.0002913549999999999,1.8592609983078048,0.4774211585522106,295000000000000.0,0.57313,0.57313,2327128215854.4233,1.1696599999999997,17503.727145280773,17420.70314539412,17406.865977687034,83.02399988665066,13.837167707085705,0.06296335230968648,0.004743218355585198,0.004743218355585198,0.004743218355585198,0.0007942944433183875,13.837167707085705,-235845801.5662852,-0.030423865011130702,7.403350111862283,1.4,0.0,0.0,34922268256429.273,-7.137659051323453,0.0007942944433184662,0.0007942944433184662,107265724065.32838,643602047121.3159,70515756802600.62,57390770067.15642,-0.07022,0.21036,-0.08308,0.0007942944433183875,64422268256429.28,135045290783095.22,135688892830216.55,134938025059029.89,9096.459855856632,57390770067.15642,1.0,72.32042977046027,1.6722904888644705e-06,1.6722904888644705e-06,1.0548092015837094,8310.406121830401,72.32042977046027
2021.0,749.4392757472212,7832251487.344443,4937.569188788617,0.0002869469393703804,1.8607536583193311,0.20457682442931463,329922268256429.25,0.5710759862923859,0.5710759862923859,2384518985921.5796,1.1959649384052309,18284.9573228078,18194.282923264687,18178.17415941713,90.67439954311536,16.108763847558485,0.07153610500306067,0.004958961508212674,0.004958961508212675,0.004958961508212675,0.0008853750332177429,16.108763847558485,-189270314.3392873,-0.0241655052375572,7.4906867279861356,1.3970840409436769,0.0,0.0,-3865390406619.301,-7.029056385458615,0.000885375033217839,0.000885375033217839,126167889604.32034,710184700685.6295,113249195178277.5,58668942266.500694,-0.07498456858018428,0.21612613051943694,-0.08521515070312902,0.0008853750332177429,29126836419023.625,142502199486905.44,143212384187591.06,142376031597301.12,14459.341015960546,58668942266.500694,1.0,72.56942104539394,8.356568541963874e-07,8.356568541963874e-07,0.02646532576290661,3718.833143456582,72.56942104539394
2022.0,759.3749267602893,7910820339.096546,4059.769804874857,0.0002826406030102666,1.863570818355113,0.2089769769604768,326056877849809.94,0.5690435894947019,0.5690435894947019,2443187928188.08,1.224256647935329,18406.779366046925,18311.13121255503,18292.960250446104,95.64815349189587,18.170962108924755,0.08117426795653103,0.005196354646828011,0.005196354646828011,0.00519635464682801,0.0009923451423069828,18.170962108924755,-190496984.14319026,-0.02408056004024305,7.3214183075457715,1.3941741553282239,0.0,0.0,-2364144202083.8047,-6.9149432076294595,0.0009923451423071716,0.0009923451423071716,143747216632.23462,756655358040.7181,114470778428616.5,57918424858.3669,-0.07842701707652974,0.22199043963116072,-0.08739492308602324,0.0009923451423069828,30241543582897.195,144856069228145.9,145612724586186.66,144712322011513.7,14470.152717649711,57918424858.3669,1.0,73.04169088070691,8.32128766476455e-07,8.32128766476455e-07,0.029483944753596836,3822.807532796393,73.04169088070691
2023.0,769.427109958828,7987717781.36314,3358.004875731523,0.00027843312404643265,1.8675730473801393,0.2129088173381719,323692733647726.1,0.567032582105645,0.567032582105645,2501106353046.447,1.2539428726998663,18555.83728683283,18454.681693952924,18434.13985488129,101.1555928799044,20.54183907163396,0.0919247226302542,0.005451416247957947,0.005451416247957947,0.005451416247957947,0.001113096362879287,20.54183907163396,-191484074.0331705,-0.023972313403452877,7.156969180720309,1.391270330503709,0.0,0.0,-1019151183702.5547,-6.800052824554637,0.0011130963628793733,0.0011130963628793733,164082413214.39066,808002327931.1431,115896584521900.16,57167849985.5076,-0.0798612685272887,0.22753835709052359,-0.08951316325487514,0.001113096362879287,31350122181070.06,147410789116184.6,148218791444115.75,147246706702970.22,14509.348939732055,57167849985.5076,1.0,73.71791568296523,8.261540532518226e-07,8.261540532518226e-07,0.03289425797978929,3924.7909151492354,73.71791568296523
2024.0,779.596991501509,8062956561.399988,2796.9470921655156,0.00027432172967518736,1.8726464660835092,0.21609788936865212,322673582464023.56,0.565042739018188,0.565042739018188,2558274203031.9546,1.284135713151034,18730.565164885084,18623.48067504109,18600.234757958387,107.08448984399251,23.24591708270088,0.10380693883059892,0.005717098704781634,0.005717098704781634,0.005717098704781634,0.0012482047522864356,23.24591708270088,-192221904.16789356,-0.023840126472728717,6.99598321751468,1.388372553846548,0.0,0.0,141465639830.3086,-6.685424530953936,0.0012482047522865969,0.0012482047522865969,187430819667.72314,863417590011.7898,117564060999028.02,56408308787.10419,-0.08018340327335428,0.23277872134833621,-0.09157050139352557,0.0012482047522864356,32408823886232.664,150160315704928.44,151023733294940.25,149972884885260.7,14580.763285002138,56408308787.10419,1.0,74.58413650804846,8.175779466139215e-07,8.175779466139215e-07,0.035303693283817994,4019.4714729562497,74.58413650804846
2025.0,789.885746834912,8136550834.027715,2348.3588011236193,0.00027030373767847766,1.8786468349036372,0.21893847260310512,322815048103853.9,0.5630738374943813,0.5630738374943813,2614682511819.0586,1.3143468863550583,18928.5918142324,18815.22337988546,18788.925618920024,113.36843434693802,26.29776096543962,0.11679560184269512,0.0059892693265061765,0.0059892693265061765,0.0059892693265061765,0.0013976852910262767,26.29776096543962,-192771153.2790837,-0.023691998883961878,6.837227342857695,1.3854808127594485,0.0,0.0,1189162665689.3984,-6.5722385242562,0.0013976852910263515,0.0013976852910263515,213973068916.4092,922428029037.9948,119406380939033.61,55631447838.96587,-0.07988404062344404,0.2377183151272698,-0.09356709704945959,0.0013976852910262767,33470667476074.785,153091021484024.8,154013449513062.8,152877048415108.4,14675.306942060322,55631447838.96587,1.0,75.62176942183275,8.072672653420099e-07,8.072672653420099e-07,0.03780099182678098,4113.618676859702,75.62176942183275
2026.0,800.2945607424174,8208516052.191165,1989.6692190028818,0.0002663765530827186,1.8853854223270807,0.22131119351556455,324004210769543.25,0.5611256571404205,0.5611256571404205,2670313959658.0244,1.3443068500344904,19148.539982929455,19028.566206099837,18998.868695187306,119.97377682961624,29.697510912529136,0.1308060520628727,0.0062654268647411495,0.0062654268647411495,0.0062654268647411495,0.0015606804312460094,29.697510912529136,-193125881.94729367,-0.023527502500983843,6.680313313594193,1.3825950946713572,0.0,0.0,2113616958987.6836,-6.46185253080752,0.0015606804312461309,0.0015606804312461309,243772495035.6177,984806672947.9054,121438480621975.22,54835459068.30428,-0.07922961684139854,0.24236203567837653,-0.09550267291498908,0.0015606804312460094,34514038035942.008,156196291152952.84,157181097825900.75,155952518657917.22,14794.206388809907,54835459068.30428,1.0,76.8042800177524,7.952231778943717e-07,7.952231778943717e-07,0.03988299644238902,4204.6623063774,76.8042800177524
2027.0,810.8246273931094,8278868861.719479,1702.8371767166157,0.0002625376649539717,1.892890855622137,0.22333316281945673,326117827728530.94,0.5591979798819762,0.5591979798819762,2725149418726.3286,1.3738648137562903,19388.668816722082,19261.789790788378,19228.333884864736,126.87902593370355,33.45590592364198,0.14573826089418354,0.006543978193297861,0.006543978193297861,0.006543978193297861,0.0017369053596276757,33.45590592364198,-193312062.23423034,-0.023350057292015183,6.524881959933994,1.379715387037404,0.0,0.0,2940367624452.1797,-6.3547811963217065,0.0017369053596277828,0.0017369053596277828,276977057791.85583,1050414817007.8364,123636704264846.92,54018642084.49271,-0.07836653922927603,0.2467142762278891,-0.09737686033538055,0.0017369053596276757,35552150397305.266,159465831719944.06,160516246536951.9,159188854662152.2,14934.009262609365,54018642084.49271,1.0,78.1431395089565,7.818411366735232e-07,7.818411366735232e-07,0.04178831331973676,4294.3246222553735,78.1431395089565
2028.0,821.477150390716,8347627000.319342,1473.4420946140226,0.00025878464332340217,1.9009618802096855,0.2250156751936394,329058195352983.1,0.5572905899397829,0.5572905899397829,2779168060810.8213,1.4029351916434196,19647.549466334476,19513.477662914003,19475.931757736253,134.07180342047266,37.54590517775199,0.16139608823615254,0.006823843535816054,0.006823843535816053,0.006823843535816053,0.001924101168758309,37.54590517775199,-193341421.85948768,-0.023161243530897026,6.371444818684164,1.3768416773388468,0.0,0.0,3676737007797.047,-6.252333522845895,0.0019241011687584075,0.0019241011687584075,313419211813.2323,1119181406214.2446,125995257254160.7,53186444799.49271,-0.07737481430645674,0.250778961935296,-0.09918920585907358,0.001924101168758309,36582556543095.36,162891233009069.3,164010414415283.53,162577813797256.06,15093.541823243986,53186444799.49271,1.0,79.6089471344818,7.673258984368414e-07,7.673258984368414e-07,0.0434020458618245,4382.3899344922675,79.6089471344818
2029.0,832.2533428225427,8414809200.811381,1289.9573849759238,0.0002551151362372384,1.9095272759847404,0.22642872935909075,332734932360780.2,0.5554032738054854,0.5554032738054854,2832354505610.314,1.431467984616159,19923.78220553339,19782.239039430046,19740.298316611406,141.5431661033427,41.940722818638584,0.1775599219697665,0.007104231748931296,0.0071042317489312945,0.007104231748931296,0.002120120110521471,41.940722818638584,-193233160.12628108,-0.02296346304651197,6.220729299571318,1.3739739530830188,0.0,0.0,4338774081278.426,-6.155221538309091,0.0021201201105216505,0.0021201201105216505,352923180262.9598,1191058736438.3818,128498576584026.66,52346250145.78967,-0.0763021740708545,0.25456101409154275,-0.10093954453682057,0.002120120110521471,37612267317356.445,166463767081646.06,167654825818084.44,166110843901383.1,15270.527651611688,52346250145.78967,1.0,81.19462418420484,7.519599220034872e-07,7.519599220034872e-07,0.04473867522547481,4469.770664999719,81.19462418420484
