"t, Time, (yr)","A, Total factor productivity, ($)","L, Population, (persons)","theta1, Marginal abatement cost at mu=1, ($/tCO2)","sigma, Carbon intensity of GDP, (tCO2/$)","f, Control: log10(marginal_abatement_cost), (log10($/tCO2))","s, Savings rate, (dimensionless)","K, Capital stock, ($)","gini, Background Gini index, (dimensionless)","Gini, Gini index, (dimensionless)","Ecum, Cumulative CO2 emissions, (tCO2)","delta_T, Global mean temperature change, (°C)","y_gross, Per-capita gross income, ($/person/yr)","y_damaged, Per-capita income after climate damage, ($/person/yr)","y_net, Per-capita net income after abatement, ($/person/yr)","climate_damage, Per-capita climate damage, ($/person/yr)","tax_amount, Per-capita tax amount, ($/person/yr)","mu, Abatement fraction, (dimensionless)","Omega, Climate damage as fraction of gross output, (dimensionless)","Omega_base, Base damage from temperature before income adjustment, (dimensionless)","Omega_calc, Climate damage from previous timestep (lagged), (dimensionless)","lambda_abate, Abatement cost as fraction of damaged output, (dimensionless)","abateCost_amount, Abatement expenditure per capita, ($/person/yr)","U, Mean utility per capita, (dimensionless)","aggregate_utility, Aggregate utility from integration, (dimensionless)","e, CO2 emissions, (tCO2/yr)","emission_ratio, Ratio of CO2e to industrial CO2, (dimensionless)","E_extra, Extra emission pulse, (tCO2/yr)","consumption_extra, Extra consumption pulse, ($/person/yr)","dK_dt, Net capital accumulation, ($/yr)","log_deltaU_norm, Log normalized utility-loss (log deltaU), (dimensionless)","max_average_tax_rate, Maximum average tax rate across income bins, (dimensionless)","max_marginal_tax_rate, Maximum marginal tax rate across income bins, (dimensionless)",AbateCost,Climate_damage,Consumption,E,H1,H2,H3,Lambda,Savings,Y_damaged,Y_gross,Y_net,consumption,dEcum_dt,mac_over_wmac,marginal_abatement_cost,mu_dollar_cost,mu_dollar_numeraire,r_consumption,savings,welfare_adjusted_mac
2020.0,739.6190000000007,7752000000.0,6035.6,0.0002913549999999999,1.7881454564342207,0.4800723982234203,295000000000000.0,0.57313,0.57313,2327128215854.4233,1.1696599999999997,17503.727145280773,17420.70314539412,17410.098785730497,83.02399988665066,10.604359663621288,0.056838240994628045,0.004743218355585198,0.004743218355585198,0.004743218355585198,0.0006087216787472202,10.604359663621288,-236353290.65431878,-0.030489330579762483,7.4517434630201915,1.4,0.0,0.0,35292052265390.05,-678.8517200289764,0.011540205761709776,0.9453950822593306,82204996112.39223,643602047121.3159,70171033521592.766,57765915325.33253,-0.07022,0.21036,-0.08308,0.0006087216787472202,64792052265390.05,135045290783095.22,135688892830216.55,134963085786982.81,9051.9909083582,57765915325.33253,1.0,61.396760433420205,1.6841218923559375e-06,1.6841218923559375e-06,1.0464367372746581,8358.107877372297,61.396760433420205
2021.0,749.4392757472212,7832251487.344443,4937.569188788617,0.0002869469393703804,2.1362633048207895,0.20961900592425514,330292052265390.06,0.5710759862923859,0.5710759862923859,2384894131179.756,1.195964938405231,18291.103165064997,18200.398288526692,18155.22330555082,90.70487653830438,45.17498297587411,0.10634542692187177,0.004958961508212676,0.004958961508212676,0.004958961508212676,0.002482087603783477,45.17498297587411,-188830041.5169971,-0.024109292432975833,7.212052903063249,1.3970840409436769,0.0,0.0,-3222163469833.2734,-668.7878867859813,0.04721361153306902,0.999994525003876,353821827603.54987,710423404176.5286,112389232981265.17,56486612076.823944,-0.07522053494757705,0.21620228500684668,-0.08523469577107999,0.002482087603783477,29807041756705.734,142550096565574.44,143260519969750.97,142196274737970.9,14349.543443908387,56486612076.823944,1.0,136.8558306052981,8.400712521747605e-07,8.400712521747605e-07,0.0276902719084251,3805.679861642432,136.8558306052981
2022.0,759.3749267602893,7910820339.096546,4059.769804874857,0.0002826406030102666,2.132123113346351,0.21373717902104952,327069888795556.8,0.5690435894947019,0.5690435894947019,2441380743256.5796,1.2243600139837558,18423.91689320756,18328.163519857524,18278.487898386447,95.75337335003628,49.67562147107823,0.1194712933281777,0.005197232157801264,0.005197232157801264,0.005197232157801264,0.002710343642299869,49.67562147107823,-189907601.26787767,-0.02400605665752814,7.022204904550547,1.3941741553282239,0.0,0.0,-1801055783218.2656,-666.7730701858793,0.05172724020440378,0.9999983335763425,392974916690.66675,757487733434.5723,113691900738148.17,55551401384.221985,-0.07718500263306619,0.22162145089461407,-0.08730056762876287,0.002710343642299869,30905933096337.418,144990808751176.25,145748296484610.8,144597833834485.6,14371.695458214937,55551401384.221985,1.0,135.55736344877798,8.351847651940986e-07,8.351847651940986e-07,0.03058673778740406,3906.7924401715113,135.55736344877798
2023.0,769.427109958828,7987717781.36314,3358.004875731523,0.00027843312404643265,2.130656383895749,0.21738682761684158,325268833012338.56,0.567032582105645,0.567032582105645,2496932144640.802,1.253501365864048,18582.89641127977,18481.664631893902,18426.618481123623,101.23177938586541,55.04615077027909,0.13423303616692037,0.0054475780925312585,0.0054475780925312585,0.0054475780925312585,0.0029784195237092265,55.04615077027909,-190764313.9270655,-0.02388220504887576,6.83259243572989,1.391270330503709,0.0,0.0,-530449152679.77344,-664.54949279013,0.05703155252935288,0.9999995911736688,439693117303.3546,808610884239.5077,115190193943511.73,54576820091.686935,-0.07768461963115539,0.22669918395198557,-0.08929645680954967,0.0029784195237092265,31996434148554.082,147626321209369.2,148434932093608.7,147186628092065.8,14420.914345806295,54576820091.686935,1.0,135.10032192811968,8.280400997365927e-07,8.280400997365927e-07,0.033810389208208225,4005.7041353173286,135.10032192811968
2024.0,779.596991501509,8062956561.399988,2796.9470921655156,0.00027432172967518736,2.1304373387135174,0.2203335670137688,324738383859658.8,0.565042739018188,0.565042739018188,2551508964732.489,1.2827441650927203,18766.442218179334,18659.385017510067,18598.288511528455,107.05720066926493,61.09650598161251,0.15043388785855888,0.00570471480020635,0.00570471480020635,0.00570471480020635,0.0032743043741409066,61.09650598161251,-191379907.3157806,-0.023735698668150944,6.64360624440846,1.388372553846548,0.0,0.0,566764711555.5273,-662.1730161116594,0.06290314059901636,0.9999999144908014,492618473783.0562,863197558581.3649,116916589287316.97,53567108559.71113,-0.0773482812219923,0.23143704251585717,-0.09122103223974753,0.0032743043741409066,33040603097521.406,150449810858621.44,151313008417202.8,149957192384838.38,14500.461263432193,53567108559.71113,1.0,135.03219853675367,8.184458421095638e-07,8.184458421095638e-07,0.036029602290678975,4097.827248096261,135.03219853675367
2025.0,789.885746834912,8136550834.027715,2348.3588011236193,0.00027030373767847766,2.132586677797699,0.22296061719386265,325305148571214.3,0.5630738374943813,0.5630738374943813,2605076073292.1997,1.3117241569691078,18972.2769489133,18859.099909088727,18790.946457138623,113.17703982457012,68.15345195010465,0.1683212279254092,0.00596539045520589,0.00596539045520589,0.00596539045520589,0.0036138231558580165,68.15345195010465,-191814383.5587618,-0.02357440978019562,6.451953870649738,1.3854808127594485,0.0,0.0,1558712276324.4805,-659.5575427945049,0.06965202679863258,0.9999999860145429,554534026306.4918,920870737777.3939,118804263934555.48,52496650647.34347,-0.07652691833291705,0.23583740212646154,-0.09307319746543737,0.0036138231558580165,34089227133445.918,153448025094307.88,154368895832085.28,152893491068001.4,14601.30543739817,52496650647.34347,1.0,135.702134167134,8.072701380539294e-07,8.072701380539294e-07,0.03836428907750422,4189.641019740454,135.702134167134
2026.0,800.2945607424174,8208516052.191165,1989.6692190028818,0.0002663765530827186,2.1358249815292263,0.22514785062953682,326863860847538.8,0.5611256571404205,0.5611256571404205,2657572723939.543,1.3402336047449315,19199.08544841976,19079.522837723624,19003.536595184563,119.56261069613458,75.98624253906189,0.18756532877663365,0.0062275159417020855,0.0062275159417020855,0.0062275159417020855,0.003982607069649746,75.98624253906189,-192062300.74282822,-0.023397932040537278,6.259205671012694,1.3825950946713572,0.0,0.0,2434615176175.242,-656.7707419333134,0.07700830600713138,0.9999999980855364,623734291627.5807,981431609141.1038,120869833929045.6,51378790224.47367,-0.07539875365483636,0.23989737179874046,-0.09485053271446817,0.003982607069649746,35121001260929.125,156614569481602.28,157596001090743.4,155990835189974.72,14724.931176419013,51378790224.47367,1.0,136.71777488727497,7.945000842758187e-07,7.945000842758187e-07,0.04029517153660933,4278.605418765551,136.71777488727497
2027.0,810.8246273931094,8278868861.719479,1702.8371767166157,0.0002625376649539717,2.1404608997276555,0.22700572044241493,329298476023714.06,0.5591979798819762,0.5591979798819762,2708951514164.0166,1.3681443558363662,19445.2059118983,19319.01437365142,19234.303921869698,126.19153824688247,84.71045178171931,0.20811570776864244,0.006489596398136741,0.006489596398136741,0.006489596398136741,0.0043848226489884064,84.71045178171931,-192148945.29968607,-0.023209565039514074,6.064657989615543,1.379715387037404,0.0,0.0,3218152829183.3438,-653.7849886961114,0.08505798666982467,0.9999999997866515,701306721517.8654,1044723196604.5979,123090279384061.12,50208508187.20637,-0.07407087497517963,0.24361685021993826,-0.09655133833020885,0.0043848226489884064,36148000431554.74,159939586537133.75,160984309733738.38,159238279815615.88,14868.0069028773,50208508187.20637,1.0,138.18499899910984,7.805199252920368e-07,7.805199252920368e-07,0.042062438768764476,4366.297018992398,138.18499899910984
2028.0,821.477150390716,8347627000.319342,1473.4420946140226,0.00025878464332340217,2.1460632651011586,0.22854631189530453,332516628852897.4,0.5572905899397829,0.5572905899397829,2759160022351.223,1.395376028718783,19709.27222568827,19576.224656114224,19482.01235374249,133.04756957404572,94.21230237173414,0.2296578898226717,0.0067505064647002495,0.006750506464700249,0.006750506464700249,0.004812587923704119,94.21230237173414,-192086318.65033564,-0.02301088903984178,5.869754926118894,1.3768416773388468,0.0,0.0,3916497532880.0664,-650.635571451908,0.09365359473424262,0.999999999979946,786449159040.5378,1110631484103.1702,125460411926485.98,48998524706.52754,-0.07259942734997499,0.2469947200331317,-0.09817367065049343,0.004812587923704119,37168160418169.8,163415021503696.3,164525652987799.5,162628572344655.78,15029.470281995884,48998524706.52754,1.0,139.9791219897748,7.655251649348195e-07,7.655251649348195e-07,0.04356036572390454,4452.542071746608,139.9791219897748
2029.0,832.2533428225427,8414809200.811381,1289.9573849759238,0.0002551151362372384,2.152445512656335,0.22983522542059828,336433126385777.44,0.5554032738054854,0.5554032738054854,2808158547057.7505,1.4218733066941776,19989.958462555212,19849.84252548691,19745.440749948633,140.11593706830118,104.40177553827507,0.2518655931271713,0.0070093160689034695,0.0070093160689034695,0.007009316068903471,0.005259577017007803,104.40177553827507,-191893023.93504766,-0.02280420379781692,5.6760538242209275,1.3739739530830188,0.0,0.0,4544756181011.699,-647.3509228443271,0.102676036784622,0.999999999998364,878521021380.5217,1179048876422.6492,127966047677154.3,47762909944.35489,-0.07102350325027595,0.2500324773308468,-0.09971626873470399,0.005259577017007803,38188068819589.445,167032637518124.28,168211686394546.94,166154116496743.75,15207.242924155122,47762909944.35489,1.0,142.0513981516492,7.497805639908001e-07,7.497805639908001e-07,0.04479231114863502,4538.197825793512,142.0513981516492
