"t, Time, (yr)","A, Total factor productivity, ($)","L, Population, (persons)","theta1, Marginal abatement cost at mu=1, ($/tCO2)","sigma, Carbon intensity of GDP, (tCO2/$)","f, Control: log10(marginal_abatement_cost), (log10($/tCO2))","s, Savings rate, (dimensionless)","K, Capital stock, ($)","gini, Background Gini index, (dimensionless)","Gini, Gini index, (dimensionless)","Ecum, Cumulative CO2 emissions, (tCO2)","delta_T, Global mean temperature change, (°C)","y_gross, Per-capita gross income, ($/person/yr)","y_damaged, Per-capita income after climate damage, ($/person/yr)","y_net, Per-capita net income after abatement, ($/person/yr)","climate_damage, Per-capita climate damage, ($/person/yr)","tax_amount, Per-capita tax amount, ($/person/yr)","mu, Abatement fraction, (dimensionless)","Omega, Climate damage as fraction of gross output, (dimensionless)","Omega_base, Base damage from temperature before income adjustment, (dimensionless)","Omega_calc, Climate damage from previous timestep (lagged), (dimensionless)","lambda_abate, Abatement cost as fraction of damaged output, (dimensionless)","abateCost_amount, Abatement expenditure per capita, ($/person/yr)","U, Mean utility per capita, (dimensionless)","aggregate_utility, Aggregate utility from integration, (dimensionless)","e, CO2 emissions, (tCO2/yr)","emission_ratio, Ratio of CO2e to industrial CO2, (dimensionless)","E_extra, Extra emission pulse, (tCO2/yr)","consumption_extra, Extra consumption pulse, ($/person/yr)","dK_dt, Net capital accumulation, ($/yr)","log_deltaU_norm, Log normalized utility-loss (log deltaU), (dimensionless)","max_average_tax_rate, Maximum average tax rate across income bins, (dimensionless)","max_marginal_tax_rate, Maximum marginal tax rate across income bins, (dimensionless)",AbateCost,Climate_damage,Consumption,E,H1,H2,H3,Lambda,Savings,Y_damaged,Y_gross,Y_net,consumption,dEcum_dt,mac_over_wmac,marginal_abatement_cost,mu_dollar_cost,mu_dollar_numeraire,r_consumption,savings,welfare_adjusted_mac
2020.0,739.6190000000007,7752000000.0,6035.6,0.0002913549999999999,1.8556005819707901,0.47872087268885843,295000000000000.0,0.57313,0.57313,2327128215854.4233,1.1696599999999997,17503.727145280773,17420.70314539412,17407.054202142695,83.02399988665066,13.6489432514227,0.06263254838313831,0.004743218355585197,0.004743218355585198,0.004743218355585198,0.0007834898016175289,13.6489432514227,-236084900.3362,-0.030454708505701755,7.40596373139643,1.4,0.0,0.0,35098347624445.273,-7.641301323896793,0.001859135206037199,0.002787406263264902,105806608085.02878,643602047121.3159,70341136550564.9,57411030845.785126,-0.07022,0.21036,-0.08308,0.0007834898016175289,64598347624445.27,135045290783095.22,135688892830216.55,134939484175010.17,9073.934023550684,57411030845.785126,1.0,71.71344436439563,1.678141475405419e-06,1.678141475405419e-06,1.051199047313252,8333.120178592011,71.71344436439563
2021.0,749.4392757472212,7832251487.344443,4937.569188788617,0.0002869469393703804,1.9683213013560108,0.20725493525502936,330098347624445.25,0.5710759862923859,0.5710759862923859,2384539246700.2085,1.195964938405231,18287.884378192437,18197.19546349434,18173.10069288001,90.68891469810019,24.09477061433209,0.08351318882769146,0.004958961508212677,0.004958961508212676,0.0049589615082126755,0.0013240925318777261,24.09477061433209,-189053545.33285776,-0.024137828776097832,7.395133107245588,1.3970840409436769,0.0,0.0,-3509935171981.992,-7.115605310459194,0.0031421446157142707,0.00470951258007446,188716302981.3257,710298387029.8485,112836395341007.25,57920542278.33439,-0.07499731260994175,0.21613024345749857,-0.08521620628969558,0.0013240925318777261,29499899590462.53,142525011234451.1,143235309621480.94,142336294931469.78,14406.635885394033,57920542278.33439,1.0,92.96539124337176,8.377419578478465e-07,8.377419578478465e-07,0.027167497439589683,3766.4648074859756,92.96539124337176
2022.0,759.3749267602893,7910820339.096546,4059.769804874857,0.0002826406030102666,1.9685661256052638,0.21150924013365144,326588412452463.25,0.5690435894947019,0.5690435894947019,2442459788978.543,1.2242622305105564,18415.77619786468,18320.080420909933,18293.15338936455,95.69577695474992,26.927031545382597,0.09441488050301064,0.005196402037392585,0.005196402037392585,0.005196402037392586,0.0014698096802374828,26.927031545382597,-190197102.5966358,-0.02404265227168049,7.219124493973228,1.3941741553282239,0.0,0.0,-2050524816336.2734,-7.008619174240131,0.0034905167394314596,0.005231203557531816,213014908820.70694,757032098699.2822,114105533469887.94,57109196877.39348,-0.077963330753464,0.22184251232440608,-0.08735697617102722,0.0014698096802374828,30608316428910.055,144926864807618.72,145683896906317.97,144713849898798.0,14423.982416331723,57109196877.39348,1.0,93.01781327394215,8.334427337871594e-07,8.334427337871594e-07,0.030157027939574643,3869.170973032826,93.01781327394215
2023.0,769.427109958828,7987717781.36314,3358.004875731523,0.00027843312404643265,1.969951722719519,0.2152853286720923,324537887636127.0,0.567032582105645,0.567032582105645,2499568985855.9365,1.2537452921690901,18570.358678329678,18469.15582338313,18439.003934219916,101.20285494654813,30.151889163214822,0.10651701814075479,0.0054496984522245575,0.0054496984522245575,0.0054496984522245575,0.0016325537264156168,30.151889163214822,-191115230.40484142,-0.02392613705641297,7.046986474955546,1.391270330503709,0.0,0.0,-745368657336.2461,-6.9010478844806675,0.0038797298021353566,0.005813946434201522,240844781210.7016,808379843981.2571,115577139489716.86,56289339171.02797,-0.07909548825625035,0.2272302943303937,-0.08943344604277627,0.0016325537264156168,31708420106276.457,147526404377204.03,148334784221185.28,147285559595993.3,14469.356911855379,56289339171.02797,1.0,93.31505636384573,8.268035847963507e-07,8.268035847963507e-07,0.03347109072551202,3969.6470223645374,93.31505636384573
2024.0,779.596991501509,8062956561.399988,2796.9470921655156,0.00027432172967518736,1.972954528815636,0.21833817497446142,323792518978790.75,0.565042739018188,0.565042739018188,2555858325026.9644,1.283604215813993,18750.0271790818,18642.92014019066,18609.05448637992,107.10703889114092,33.86565381074111,0.11992753948789936,0.005712367127159866,0.005712367127159866,0.005712367127159866,0.0018165423418691298,33.86565381074111,-191788591.53975186,-0.023786385314030663,6.876663785672916,1.388372553846548,0.0,0.0,381080785288.02344,-6.791709970683467,0.004319867285802692,0.006472797912128181,273057295599.41553,863599401999.4484,117283665289239.75,55446241391.233116,-0.07920675334170318,0.23230093803301047,-0.09144583407270623,0.0018165423418691298,32760332683167.1,150317055268006.28,151180654670005.72,150043997972406.84,14545.987491823415,55446241391.233116,1.0,93.96249254899838,8.176447494803491e-07,8.176447494803491e-07,0.03578895859602138,4063.066994556505,93.96249254899838
2025.0,789.885746834912,8136550834.027715,2348.3588011236193,0.00027030373767847766,1.9769711345007468,0.22106143803581668,324173599764078.75,0.5630738374943813,0.5630738374943813,2611304566418.1973,1.3133916608609195,18952.454718623976,18839.10829584267,18801.07212217782,113.34642278130532,38.036173664850814,0.13454859781304465,0.0059805668692574886,0.005980566869257489,0.005980566869257489,0.002019000743960077,38.036173664850814,-192277954.69236687,-0.023631383692491036,6.707528780874444,1.3854808127594485,0.0,0.0,1399707832575.6484,-6.683504583540239,0.004804397351277356,0.007197933245668864,309483260555.9649,922248930815.2877,119158811247337.62,54576148896.28886,-0.07873806017558257,0.23705859669884308,-0.09339358886688133,0.002019000743960077,33817067808983.527,153285362316877.12,154207611247692.4,152975879056321.16,14644.880082234085,54576148896.28886,1.0,94.83554285081252,8.06832089240254e-07,8.06832089240254e-07,0.03820431583918338,4156.192039943732,94.83554285081252
2026.0,800.2945607424174,8208516052.191165,1989.6692190028818,0.0002663765530827186,1.981848751941651,0.22333316060070973,325573307596654.4,0.5611256571404205,0.5611256571404205,2665880715314.4863,1.3428569226477163,19176.312885980446,19056.424135588295,19013.761217058982,119.88875039215048,42.662918529312876,0.15028561717090747,0.006251918765874935,0.006251918765874936,0.006251918765874935,0.0022387683138117673,42.662918529312876,-192577323.62663037,-0.023460674548504312,6.539291664586509,1.3825950946713572,0.0,0.0,2299339610813.797,-6.577654663935724,0.005330603641426235,0.007985240225540813,350199251581.1886,984108732071.107,121218093792279.23,53677880598.71824,-0.07793122348258318,0.24150654522691997,-0.09527596908847676,0.0022387683138117673,34856670370479.234,156424963414339.66,157409072146410.78,156074764162758.47,14767.357829546003,53677880598.71824,1.0,95.9066567363618,7.943610464976999e-07,7.943610464976999e-07,0.040215186492461585,4246.40338751298,95.9066567363618
2027.0,810.8246273931094,8278868861.719479,1702.8371767166157,0.0002625376649539717,1.987699281173356,0.22526614090226355,327872647207468.2,0.5591979798819762,0.5591979798819762,2719558595913.2046,1.3718571021084656,19419.908811483656,19293.196509783138,19245.42384910326,126.71230170051759,47.77266067987777,0.16704321833144312,0.0065248659471350496,0.0065248659471350496,0.006524865947135049,0.0024761402630016933,47.77266067987777,-192712225.3622367,-0.023277603327347712,6.3715796472386,1.379715387037404,0.0,0.0,3104466152621.5,-6.474362281318827,0.005899219360383734,0.008835765885115254,395503592944.13055,1049034528945.2191,123438609361566.08,52749472341.48923,-0.07691941025308005,0.24564772714994454,-0.09709217949450187,0.0024761402630016933,35891730873368.33,159725843827878.53,160774878356823.78,159330340234934.4,14910.08148858738,52749472341.48923,1.0,97.20738968911279,7.806185894055061e-07,7.806185894055061e-07,0.04205362267288937,4335.342360515878,97.20738968911279
2028.0,821.477150390716,8347627000.319342,1473.4420946140226,0.00025878464332340217,1.9942313968680985,0.22687252265479482,330977113360089.7,0.5572905899397829,0.5572905899397829,2772308068254.694,1.4003086326786174,19681.852217839427,19548.048758871857,19494.736924725825,133.8034589675704,53.311834146031636,0.18458076959497693,0.006798316412837016,0.006798316412837016,0.006798316412837016,0.00272722023582206,53.311834146031636,-192694519.2655447,-0.023083748142816288,6.205261275393969,1.3768416773388468,0.0,0.0,3822341520644.7188,-6.375275822383054,0.006501002195179573,0.00973563744268846,445027306153.9603,1116941366813.8118,125814739460310.06,51799206566.51473,-0.07577512900153494,0.2494846049401635,-0.0988413306925807,0.00272722023582206,36920052856653.69,163179819623117.72,164296760989931.53,162734792316963.75,15071.916780121699,51799206566.51473,1.0,98.68051261906606,7.658061794036704e-07,7.658061794036704e-07,0.04361086983493356,4422.820144604125,98.68051261906606
2029.0,832.2533428225427,8414809200.811381,1289.9573849759238,0.0002551151362372384,2.0013357853986777,0.22822002115944276,334799454880734.4,0.5554032738054854,0.5554032738054854,2824107274821.2085,1.428160225189405,19960.78831391783,19819.636846364396,19760.403141986782,141.1514675534349,59.23370437761469,0.2026400406405712,0.007071437527094852,0.007071437527094851,0.007071437527094851,0.0029886372205896496,59.23370437761469,-192543038.90126675,-0.02288145034621833,6.041372513821894,1.3739739530830188,0.0,0.0,4468484690169.383,-6.281251910589629,0.007127941482591216,0.010672836697423693,498440320594.8935,1187762667876.6733,128331591992689.67,50836997014.83746,-0.07454374247023285,0.2530212535251894,-0.1005229739575714,0.0029886372205896496,37948430178242.83,166778462491527.38,167966225159404.06,166280022170932.5,15250.68351880344,50836997014.83746,1.0,100.30804945481592,7.501975349869373e-07,7.501975349869373e-07,0.04490004964263883,4509.719623183342,100.30804945481592
