sweep,cell,beta,tau,eta,rho,mac,dt,converged,chosen_from,was_dup,d_score,alt_mac,alt_dt,r_mu_pct
mc/mc_low_rmu_s_beta0_5,mc_low_rmu_s_beta0_5_gid-246_20260711_043319,0.5,0.998,1.980808,-0.02191,511.288496896,0.978260990757,True,mc/mc_low_rmu_s_beta0_5,False,,,,3.12080368168
mc/mc_infill_2_3,mc_infill_2_3_gid-120_20260715_040904,0.5,0.998,1.981104,-0.008207,352.91909272,1.34974539279,True,mc/mc_infill_2_3,True,0.227178,352.919173,1.349745,4.13276318742
mc/mc_infill_lt1_beta0_5,mc_infill_lt1_beta0_5_gid-96_20260714_175538,0.5,0.998,1.983637,-0.034888,751.016278978,0.527254152393,True,mc/mc_infill_lt1_beta0_5,False,,,,2.15876250044
mc/mc_infill_1_2,mc_infill_1_2_gid-330_20260714_172633,0.5,0.998,1.985139,-0.0244,547.721092284,0.904797662968,True,mc/mc_infill_1_2,False,,,,2.93912417121
mc/mc_beta0.5_s,mc_beta0.5_s_gid-465_20260710_100906,0.5,0.998,1.985767,0.002668,275.847211303,1.58217441467,True,mc/mc_beta0.5_s,False,,,,4.93367231849
mc/mc_low_rmu_s_beta0_5,mc_low_rmu_s_beta0_5_gid-255_20260711_043312,0.5,0.998,1.987466,-0.010303,370.698645856,1.30170496247,True,mc/mc_low_rmu_s_beta0_5,False,,,,3.99306042798
mc/mc_beta0.5_s,mc_beta0.5_s_gid-1395_20260710_054815,0.5,0.998,1.989449,0.006262,256.719360745,1.64853951671,True,mc/mc_beta0.5_s,False,,,,5.20264747896
mc/mc_infill_3_4,mc_infill_3_4_gid-228_20260714_174735,0.5,0.998,1.991049,-0.003647,315.315259379,1.45604456828,True,mc/mc_infill_3_4,False,,,,4.48497771548
mc/mc_low_rmu_s_beta0_5,mc_low_rmu_s_beta0_5_gid-141_20260711_042827,0.5,0.998,1.993491,0.005788,258.678990963,1.64144444368,True,mc/mc_low_rmu_s_beta0_5,False,,,,5.17602764296
mc/mc_infill_lt1_beta0_5,mc_infill_lt1_beta0_5_gid-225_20260714_173704,0.5,0.998,1.994022,-0.035314,767.41971613,0.50912665457,True,mc/mc_infill_lt1_beta0_5,False,,,,2.1354890371
mc/mc_infill_1_2,mc_infill_1_2_gid-6_20260714_175511,0.5,0.998,1.998836,-0.023287,526.229281282,0.946741078138,True,mc/mc_infill_1_2,False,,,,3.0525622117
mc/mc_infill_2_3,mc_infill_2_3_gid-384_20260715_041550,0.5,0.998,1.999411,-0.015542,422.683222073,1.17172464999,True,mc/mc_infill_2_3,True,0.17746,422.683222,1.171725,3.62303350766
mc/mc_beta0.5_s,mc_beta0.5_s_gid-327_20260710_102747,0.5,0.998,1.999825,0.014528,221.042319903,1.78400595598,True,mc/mc_beta0.5_s,False,,,,5.8256378112
mc/mc_infill_lt1_ws3,mc_infill_lt1_ws3_gid-2_20260719_165631,0.0,0.998,1.775272,-0.040836,959.614805097,0.16180683664,True,mc/mc_infill_lt1_ws3,False,,,,1.075
mc/mc_infill_lt1_ws3,mc_infill_lt1_ws3_gid-3_20260719_165632,0.0,0.998,1.727629,-0.039908,978.073407142,0.167351011206,True,mc/mc_infill_lt1_ws3,False,,,,1.021
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-100_20260719_174812,0.0,0.5,1.610523,0.025339,72.58805877599363,2.794857904075177,True,mc/mc_infill_5_6_beta0,False,,,,5.929914117399185
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-101_20260719_174812,0.0,0.5,1.93911,0.009816,125.04965992616071,2.3828647725881007,True,mc/mc_infill_5_6_beta0,False,,,,5.40457183268694
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-102_20260719_174812,0.0,0.5,1.160644,0.031317,50.35180920718421,3.0383312186133837,True,mc/mc_infill_5_6_beta0,False,,,,5.505221956272807
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-103_20260719_174812,0.0,0.5,1.644673,0.024065,76.46487952039165,2.7598031552006024,True,mc/mc_infill_5_6_beta0,False,,,,5.898303047474031
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-108_20260719_174812,0.0,0.5,1.503727,0.02229,76.7966968265531,2.7764397262090488,True,mc/mc_infill_5_6_beta0,False,,,,5.477385256028679
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-10_20260719_175033,0.0,0.5,1.07124,0.03192,48.447802263361595,3.0647100057353804,True,mc/mc_infill_5_6_beta0,False,,,,5.371512522780614
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-110_20260719_174812,0.0,0.5,1.297148,0.028309,58.232559615108414,2.953106733027432,True,mc/mc_infill_5_6_beta0,False,,,,5.537091056022496
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-111_20260719_174217,0.0,0.5,1.257188,0.028617,56.90156956553178,2.9691969931165536,True,mc/mc_infill_5_6_beta0,False,,,,5.4801966250459415
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-112_20260719_174217,0.0,0.5,1.005726,0.037301,39.513244435410186,3.157291684972238,True,mc/mc_infill_5_6_beta0,False,,,,5.697647968387322
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-113_20260719_174217,0.0,0.5,1.783155,0.018438,94.59063654923249,2.606158791340143,True,mc/mc_infill_5_6_beta0,False,,,,5.740651431259069
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-116_20260719_174505,0.0,0.5,1.660797,0.019846,87.49882593130752,2.6750033836161866,True,mc/mc_infill_5_6_beta0,False,,,,5.604883495192616
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-117_20260719_174210,0.0,0.5,1.864193,0.012186,115.83132709730904,2.452497073595392,True,mc/mc_infill_5_6_beta0,False,,,,5.4313167461636525
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-118_20260719_175535,0.0,0.5,1.386763,0.024804,67.77882647034342,2.8624308644771377,True,mc/mc_infill_5_6_beta0,False,,,,5.4374082804348465
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-124_20260719_175535,0.0,0.5,1.044858,0.03682,40.43475151272816,3.1445794579922683,True,mc/mc_infill_5_6_beta0,False,,,,5.734951460397697
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-125_20260719_175535,0.0,0.5,1.581111,0.021938,79.75078466322346,2.7435365764200883,True,mc/mc_infill_5_6_beta0,False,,,,5.606735159171662
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-127_20260719_175604,0.0,0.5,1.343297,0.026785,62.35103135871724,2.912523808044322,True,mc/mc_infill_5_6_beta0,False,,,,5.507848548282415
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-129_20260719_175535,0.0,0.5,1.538162,0.020259,83.17805661568897,2.7237922954254112,True,mc/mc_infill_5_6_beta0,False,,,,5.388127835603413
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-12_20260719_175033,0.0,0.5,1.286119,0.027811,59.060430296400135,2.947182951596908,True,mc/mc_infill_5_6_beta0,False,,,,5.473737135347161
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-132_20260719_175535,0.0,0.5,1.0009,0.040447,35.45278923914978,3.199036482220762,True,mc/mc_infill_5_6_beta0,False,,,,5.9594329561700095
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-133_20260719_175535,0.0,0.5,1.276817,0.02833,57.82051588602928,2.9589844002122065,True,mc/mc_infill_5_6_beta0,False,,,,5.497056232251038
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-134_20260719_175535,0.0,0.5,1.908838,0.010957,120.66934026636874,2.4148012778202887,True,mc/mc_infill_5_6_beta0,False,,,,5.428866990672604
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-135_20260719_175535,0.0,0.5,1.312368,0.031521,52.52018304434278,3.001965032164768,True,mc/mc_infill_5_6_beta0,False,,,,5.830016103834533
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-136_20260719_175535,0.0,0.5,1.132045,0.033448,46.35604229852184,3.078617051065326,True,mc/mc_infill_5_6_beta0,False,,,,5.625339523597313
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-138_20260719_175535,0.0,0.5,1.261086,0.032272,50.22468704847478,3.028749815951533,True,mc/mc_infill_5_6_beta0,False,,,,5.788602339892042
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-13_20260719_175033,0.0,0.5,1.736566,0.016876,98.04270337228007,2.5895352312629547,True,mc/mc_infill_5_6_beta0,False,,,,5.52946895571278
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-142_20260719_174542,0.0,0.5,1.848522,0.016532,101.52414159732824,2.5480961802876516,True,mc/mc_infill_5_6_beta0,False,,,,5.725650655626592
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-143_20260719_174535,0.0,0.5,1.2049,0.02988,53.60853407837188,3.0040878375121407,True,mc/mc_infill_5_6_beta0,False,,,,5.47669409057067
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-148_20260719_174535,0.0,0.5,1.352857,0.030729,54.80286641829567,2.9767468529282946,True,mc/mc_infill_5_6_beta0,False,,,,5.846682323506353
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-150_20260719_174535,0.0,0.5,1.218879,0.031649,50.56660485783851,3.0302513623069727,True,mc/mc_infill_5_6_beta0,False,,,,5.651850954217302
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-151_20260719_174535,0.0,0.5,1.656792,0.021428,83.18460432066435,2.707192463451364,True,mc/mc_infill_5_6_beta0,False,,,,5.718769759044067
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-152_20260719_174535,0.0,0.5,1.784425,0.014566,106.42955492867648,2.5259091280108055,True,mc/mc_infill_5_6_beta0,False,,,,5.450286256994017
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-154_20260719_174305,0.0,0.5,1.880511,0.013258,112.33218278287944,2.4718110785658154,True,mc/mc_infill_5_6_beta0,False,,,,5.543934348087362
mc/mc_infill_5_6_beta0,mc_infill_5_6_beta0_gid-155_20260719_174305,0.0,0.5,1.627133,0.02112,83.14988970982313,2.7116773716837064,True,mc/mc_infill_5_6_beta0,False,,,,5.6357253805962415
