sweep,cell,beta,tau,eta,rho,mac,dt,converged,chosen_from,was_dup,d_score,alt_mac,alt_dt,r_mu_pct
mc/mc_beta0_s,mc_beta0_s_gid-1384_20260710_050037,0.0,0.0,1.000258,0.038948,37.2840921567,3.18035543638,True,mc/mc_beta0_s,False,,,,5.82861758433
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-196_20260711_034023,0.0,0.0,1.000345,0.002646,207.963685273,2.10954169496,True,mc/mc_low_rmu_s_beta0_0,False,,,,2.65099428442
mc/mc_infill_2_3_a,mc_infill_2_3_a_gid-163_20260714_213243,0.0,0.0,1.002129,-0.016226,642.817540136,0.808368361408,True,mc/mc_infill_2_3_a,True,0.227365,536.821682,0.756174,1.16559823265
mc/mc_beta0_s,mc_beta0_s_gid-400_20260710_075132,0.0,0.0,1.003737,0.03078,50.2384683546,3.05416286112,True,mc/mc_beta0_s,False,,,,5.13328385671
mc/mc_beta0_s,mc_beta0_s_gid-1153_20260710_045241,0.0,0.0,1.005713,0.024463,65.3552843915,2.92208698276,True,mc/mc_beta0_s,False,,,,4.5956648412
mc/mc_beta0_s,mc_beta0_s_gid-475_20260710_075653,0.0,0.0,1.006894,0.010339,132.164304689,2.47400265624,True,mc/mc_beta0_s,False,,,,3.37150333564
mc/mc_beta0_s,mc_beta0_s_gid-874_20260710_080326,0.0,0.0,1.008942,0.012173,119.278227812,2.54786662614,True,mc/mc_beta0_s,False,,,,3.53834613766
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-412_20260711_035051,0.0,0.0,1.009108,-0.011571,485.936284122,1.21507396747,True,mc/mc_low_rmu_s_beta0_0,True,0.112811,496.255832,1.208623,1.28176313217
mc/mc_beta0_s,mc_beta0_s_gid-1057_20260710_045242,0.0,0.0,1.01062,0.032369,46.9777175769,3.08450816745,True,mc/mc_beta0_s,False,,,,5.28389473596
mc/mc_beta0_s,mc_beta0_s_gid-103_20260710_074742,0.0,0.0,1.012344,0.01915,83.1131489617,2.78441730603,True,mc/mc_beta0_s,False,,,,4.15273810844
mc/mc_infill_3_4,mc_infill_3_4_gid-115_20260714_172001,0.0,0.0,1.014268,-0.002172,274.307522953,1.85269372973,True,mc/mc_infill_3_4,False,,,,2.22451446839
mc/mc_infill_2_3,mc_infill_2_3_gid-211_20260715_041042,0.0,0.0,1.015159,-0.007632,383.730045738,1.50220231449,True,mc/mc_infill_2_3,True,0.078479,384.405195,1.500481,1.68885652388
mc/mc_beta0_s,mc_beta0_s_gid-676_20260710_080022,0.0,0.0,1.015863,0.012519,116.222450477,2.56564958058,True,mc/mc_beta0_s,False,,,,3.58514326405
mc/mc_beta0_s,mc_beta0_s_gid-1114_20260710_050004,0.0,0.0,1.016513,0.012833,114.206675215,2.57780018116,True,mc/mc_beta0_s,False,,,,3.614187597
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-445_20260711_035057,0.0,0.0,1.018999,-0.004837,321.587816601,1.69242340521,True,mc/mc_low_rmu_s_beta0_0,False,,,,1.9739836166
mc/mc_beta0_s,mc_beta0_s_gid-1129_20260710_050004,0.0,0.0,1.019421,0.022416,70.8017458263,2.8774964739,True,mc/mc_beta0_s,False,,,,4.45020370881
mc/mc_beta0_s,mc_beta0_s_gid-577_20260710_075553,0.0,0.0,1.022413,0.01512,100.672776271,2.66274336541,True,mc/mc_beta0_s,False,,,,3.82744560969
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-292_20260711_034631,0.0,0.0,1.023894,0.005542,170.388682837,2.27593210227,True,mc/mc_low_rmu_s_beta0_0,False,,,,2.98118574522
mc/mc_beta0_s,mc_beta0_s_gid-607_20260710_080023,0.0,0.0,1.024275,0.03018,50.6378249978,3.0497157944,True,mc/mc_beta0_s,False,,,,5.12494694567
mc/mc_beta0_s,mc_beta0_s_gid-772_20260710_081424,0.0,0.0,1.026647,0.021108,74.7192003888,2.84651204488,True,mc/mc_beta0_s,False,,,,4.35408788035
mc/mc_beta0_s,mc_beta0_s_gid-1240_20260710_045905,0.0,0.0,1.028877,0.028009,55.0850535077,3.00913343409,True,mc/mc_beta0_s,False,,,,4.94919203255
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-433_20260711_035052,0.0,0.0,1.029672,0.004656,178.26845585,2.23839745812,True,mc/mc_low_rmu_s_beta0_0,False,,,,2.91347615786
mc/mc_beta0_s,mc_beta0_s_gid-100_20260710_074742,0.0,0.0,1.032867,0.027212,56.7529288078,2.99417575174,True,mc/mc_beta0_s,False,,,,4.88966075208
mc/mc_infill_2_3_a,mc_infill_2_3_a_gid-145_20260714_213243,0.0,0.0,1.033711,-0.005747,334.075912003,1.65064711553,True,mc/mc_infill_2_3_a,True,0.154286,333.697032,1.651862,1.92348508763
mc/mc_beta0_s,mc_beta0_s_gid-994_20260710_080255,0.0,0.0,1.035602,0.033609,44.0134271297,3.11220792695,True,mc/mc_beta0_s,False,,,,5.44147805785
mc/mc_infill_3_4,mc_infill_3_4_gid-121_20260714_172903,0.0,0.0,1.036666,-0.004516,308.34609642,1.73364940619,True,mc/mc_infill_3_4,False,,,,2.0534224196
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-34_20260711_034022,0.0,0.0,1.037997,0.007496,149.810949135,2.37706766338,True,mc/mc_low_rmu_s_beta0_0,False,,,,3.19410147253
mc/mc_beta0_s,mc_beta0_s_gid-526_20260710_075454,0.0,0.0,1.038819,0.038231,37.2449919235,3.17975189252,True,mc/mc_beta0_s,False,,,,5.84342518528
mc/mc_beta0_s,mc_beta0_s_gid-280_20260710_075225,0.0,0.0,1.041768,0.027085,56.6396339575,2.99479530382,True,mc/mc_beta0_s,False,,,,4.89787373292
mc/mc_infill_2_3,mc_infill_2_3_gid-469_20260715_041803,0.0,0.0,1.043386,-0.010229,434.065950361,1.3529421849,True,mc/mc_infill_2_3,True,0.005794,434.06595,1.352942,1.49134833282
mc/mc_beta0_s,mc_beta0_s_gid-865_20260710_080353,0.0,0.0,1.044259,0.007691,147.123644143,2.39058054872,True,mc/mc_beta0_s,False,,,,3.22679620592
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-40_20260711_034022,0.0,0.0,1.046008,-0.009218,408.298762383,1.43337550898,True,mc/mc_low_rmu_s_beta0_0,True,0.073644,408.904498,1.433034,1.6055670606
mc/mc_beta0_s,mc_beta0_s_gid-1075_20260710_045238,0.0,0.0,1.046151,0.020149,76.7617452408,2.8298334574,True,mc/mc_beta0_s,False,,,,4.31446125763
mc/mc_beta0_s,mc_beta0_s_gid-1273_20260710_045735,0.0,0.0,1.048653,0.015686,95.2513905412,2.6971730028,True,mc/mc_beta0_s,False,,,,3.9371562226
mc/mc_beta0_s,mc_beta0_s_gid-277_20260710_075223,0.0,0.0,1.051986,0.009659,130.646834266,2.47929026617,True,mc/mc_beta0_s,False,,,,3.41993618126
mc/mc_infill_3_4,mc_infill_3_4_gid-145_20260714_171604,0.0,0.0,1.054892,0.008782,136.731184964,2.44535063378,True,mc/mc_infill_3_4,False,,,,3.34950216995
mc/mc_beta0_s,mc_beta0_s_gid-733_20260710_080156,0.0,0.0,1.055383,0.03252,45.1831848049,3.10018886309,True,mc/mc_beta0_s,False,,,,5.38923433245
mc/mc_beta0_s,mc_beta0_s_gid-1132_20260710_045614,0.0,0.0,1.057161,0.015857,93.6327345983,2.70764888652,True,mc/mc_beta0_s,False,,,,3.97147940259
mc/mc_infill_2_3,mc_infill_2_3_gid-451_20260715_041754,0.0,0.0,1.058591,-0.014237,541.735937514,1.08300349963,True,mc/mc_infill_2_3,True,0.109022,541.735938,1.083003,1.12136076512
mc/mc_beta0_s,mc_beta0_s_gid-505_20260710_081424,0.0,0.0,1.059576,0.014397,100.620467185,2.66073459126,True,mc/mc_beta0_s,False,,,,3.85112481954
mc/mc_beta0_s,mc_beta0_s_gid-583_20260710_075627,0.0,0.0,1.060506,0.014093,102.115535421,2.65091227934,True,mc/mc_beta0_s,False,,,,3.82700647166
mc/mc_beta0_s,mc_beta0_s_gid-22_20260710_074741,0.0,0.0,1.063156,0.0348,41.3142106406,3.13793779611,True,mc/mc_beta0_s,False,,,,5.59917538478
mc/mc_beta0_s,mc_beta0_s_gid-1222_20260710_050006,0.0,0.0,1.064077,0.009795,127.970863184,2.49355705265,True,mc/mc_beta0_s,False,,,,3.46092775922
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-49_20260711_034022,0.0,0.0,1.064168,0.001325,208.632684504,2.10123327317,True,mc/mc_low_rmu_s_beta0_0,False,,,,2.68917424915
mc/mc_beta0_s,mc_beta0_s_gid-895_20260710_080323,0.0,0.0,1.066674,0.016315,90.6466710681,2.72765156124,True,mc/mc_beta0_s,False,,,,4.03266230304
mc/mc_beta0_s,mc_beta0_s_gid-859_20260710_080323,0.0,0.0,1.068137,0.003936,177.830228272,2.23734274685,True,mc/mc_beta0_s,False,,,,2.94330783232
mc/mc_infill_2_3,mc_infill_2_3_gid-1_20260715_040904,0.0,0.0,1.069498,-0.013067,498.156629831,1.18760392441,True,mc/mc_infill_2_3,True,0.169332,498.15663,1.187604,1.26995977256
mc/mc_beta0_s,mc_beta0_s_gid-1162_20260710_045241,0.0,0.0,1.070845,0.016495,89.4691759613,2.73562267204,True,mc/mc_beta0_s,False,,,,4.05763197415
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-145_20260711_034024,0.0,0.0,1.072059,-0.007411,353.512293891,1.58814950199,True,mc/mc_low_rmu_s_beta0_0,False,,,,1.86047488625
mc/mc_beta0_s,mc_beta0_s_gid-1375_20260710_045914,0.0,0.0,1.073047,0.005738,159.224707131,2.32657590505,True,mc/mc_beta0_s,False,,,,3.121695825
mc/mc_beta0_s,mc_beta0_s_gid-454_20260710_075752,0.0,0.0,1.074031,0.01072,120.366994109,2.53693974887,True,mc/mc_beta0_s,False,,,,3.56570994378
mc/mc_infill_3_4,mc_infill_3_4_gid-25_20260714_162331,0.0,0.0,1.074251,0.003103,185.4462438,2.20185633864,True,mc/mc_infill_3_4,False,,,,2.88131126646
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-232_20260711_034530,0.0,0.0,1.075117,0.010047,124.708477816,2.51148137936,True,mc/mc_low_rmu_s_beta0_0,False,,,,3.50942536586
mc/mc_beta0_s,mc_beta0_s_gid-562_20260710_081424,0.0,0.0,1.076787,0.025898,57.8297679676,2.98279432321,True,mc/mc_beta0_s,False,,,,4.87201857098
mc/mc_infill_2_3,mc_infill_2_3_gid-433_20260715_041756,0.0,0.0,1.078796,-0.005195,305.161068283,1.73984915077,True,mc/mc_infill_2_3,True,0.199323,305.161068,1.739849,2.09823171445
mc/mc_beta0_s,mc_beta0_s_gid-1453_20260710_050335,0.0,0.0,1.079173,0.026033,57.3887914283,2.98656288416,True,mc/mc_beta0_s,False,,,,4.88857090843
mc/mc_beta0_s,mc_beta0_s_gid-1486_20260710_050516,0.0,0.0,1.085125,0.0002,217.710382809,2.06164983837,True,mc/mc_beta0_s,False,,,,2.63657431114
mc/mc_infill_2_3,mc_infill_2_3_gid-301_20260715_041534,0.0,0.0,1.085657,-0.00745,348.38040309,1.60182786878,True,mc/mc_infill_2_3,True,0.096673,347.379535,1.602617,1.89138306137
mc/mc_beta0_s,mc_beta0_s_gid-853_20260710_080423,0.0,0.0,1.08635,0.033068,43.2777446202,3.11772749699,True,mc/mc_beta0_s,False,,,,5.49928290163
mc/mc_beta0_s,mc_beta0_s_gid-1276_20260710_050229,0.0,0.0,1.088951,0.030365,47.8292483702,3.07359891022,True,mc/mc_beta0_s,False,,,,5.27584890974
mc/mc_beta0_s,mc_beta0_s_gid-469_20260710_075653,0.0,0.0,1.090062,0.011165,115.515364921,2.56483073933,True,mc/mc_beta0_s,False,,,,3.64245667811
mc/mc_infill_3_4,mc_infill_3_4_gid-253_20260714_175436,0.0,0.0,1.091228,-0.000643,227.43418144,2.02174056852,True,mc/mc_infill_3_4,False,,,,2.57245660456
mc/mc_infill_2_3,mc_infill_2_3_gid-25_20260715_040908,0.0,0.0,1.091435,-0.014219,525.227573422,1.1151050101,True,mc/mc_infill_2_3,True,0.093198,525.227573,1.115105,1.20906100912
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-442_20260711_035052,0.0,0.0,1.091978,0.000647,210.182926745,2.09229889202,True,mc/mc_low_rmu_s_beta0_0,False,,,,2.69658478501
mc/mc_beta0_s,mc_beta0_s_gid-1042_20260710_045404,0.0,0.0,1.092721,0.019235,76.7308602565,2.82749533058,True,mc/mc_beta0_s,False,,,,4.34068814441
mc/mc_beta0_s,mc_beta0_s_gid-763_20260710_081424,0.0,0.0,1.094018,0.019024,77.4039213912,2.82229451491,True,mc/mc_beta0_s,False,,,,4.32568004689
mc/mc_beta0_s,mc_beta0_s_gid-703_20260710_080041,0.0,0.0,1.097333,0.006431,148.845998452,2.37748223246,True,mc/mc_beta0_s,False,,,,3.24508000465
mc/mc_beta0_s,mc_beta0_s_gid-139_20260710_074738,0.0,0.0,1.098684,0.011764,110.867686697,2.59273231441,True,mc/mc_beta0_s,False,,,,3.71472248168
mc/mc_beta0_s,mc_beta0_s_gid-25_20260710_074741,0.0,0.0,1.101382,0.006705,145.883289129,2.39268182873,True,mc/mc_beta0_s,False,,,,3.27846134772
mc/mc_beta0_s,mc_beta0_s_gid-520_20260710_075502,0.0,0.0,1.103136,0.005883,152.551366687,2.35785790245,True,mc/mc_beta0_s,False,,,,3.20952870965
mc/mc_beta0_s,mc_beta0_s_gid-844_20260710_080525,0.0,0.0,1.1047,0.029384,49.0881654758,3.06107544834,True,mc/mc_beta0_s,False,,,,5.22581901894
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-160_20260711_034023,0.0,0.0,1.105349,-0.011348,432.579293207,1.3547738206,True,mc/mc_low_rmu_s_beta0_0,False,,,,1.55362692127
mc/mc_beta0_s,mc_beta0_s_gid-1168_20260710_045241,0.0,0.0,1.109272,0.017676,81.3526059984,2.79178551104,True,mc/mc_beta0_s,False,,,,4.24548278709
mc/mc_beta0_s,mc_beta0_s_gid-991_20260710_080255,0.0,0.0,1.11075,0.006817,143.437239089,2.40490100741,True,mc/mc_beta0_s,False,,,,3.31115803917
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-211_20260711_034528,0.0,0.0,1.112183,0.004125,167.07764939,2.28480141194,True,mc/mc_low_rmu_s_beta0_0,False,,,,3.0711172819
mc/mc_beta0_s,mc_beta0_s_gid-1465_20260710_050336,0.0,0.0,1.11334,0.013111,101.750115458,2.64978947943,True,mc/mc_beta0_s,False,,,,3.86510597954
mc/mc_beta0_s,mc_beta0_s_gid-1066_20260710_050137,0.0,0.0,1.11505,0.022105,65.9325341354,2.91196877818,True,mc/mc_beta0_s,False,,,,4.63416543591
mc/mc_beta0_s,mc_beta0_s_gid-1177_20260710_050135,0.0,0.0,1.116718,0.036398,37.6346671348,3.17357785785,True,mc/mc_beta0_s,False,,,,5.84223400724
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-13_20260711_034021,0.0,0.0,1.116796,0.007183,139.56122178,2.42523644934,True,mc/mc_low_rmu_s_beta0_0,False,,,,3.35808968088
mc/mc_infill_2_3,mc_infill_2_3_gid-523_20260715_041751,0.0,0.0,1.117375,-0.005529,297.072428579,1.76393210266,True,mc/mc_infill_2_3,True,0.273058,297.072429,1.763932,2.16817493028
mc/mc_beta0_s,mc_beta0_s_gid-160_20260710_075033,0.0,0.0,1.119563,0.001123,197.637930713,2.14356909369,True,mc/mc_beta0_s,False,,,,2.81158168788
mc/mc_beta0_s,mc_beta0_s_gid-1243_20260710_045906,0.0,0.0,1.120115,0.010131,118.239767522,2.54626459515,True,mc/mc_beta0_s,False,,,,3.62369808153
mc/mc_infill_2_3,mc_infill_2_3_gid-91_20260715_040902,0.0,0.0,1.122634,-0.009784,384.569120513,1.49024901425,True,mc/mc_infill_2_3,True,0.096057,384.606886,1.491632,1.75545030257
mc/mc_beta0_s,mc_beta0_s_gid-310_20260710_075804,0.0,0.0,1.12292,0.010532,115.371224261,2.56335194414,True,mc/mc_beta0_s,False,,,,3.66508595101
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-154_20260711_034024,0.0,0.0,1.12298,-0.01525,535.402449704,1.08937321655,True,mc/mc_low_rmu_s_beta0_0,False,,,,1.19497257399
mc/mc_beta0_s,mc_beta0_s_gid-397_20260710_081154,0.0,0.0,1.124135,0.017235,81.9176447376,2.78671377483,True,mc/mc_beta0_s,False,,,,4.24153354403
mc/mc_infill_3_4,mc_infill_3_4_gid-169_20260714_175005,0.0,0.0,1.125047,0.00227,183.455373826,2.20655180755,True,mc/mc_infill_3_4,False,,,,2.93233662644
mc/mc_beta0_s,mc_beta0_s_gid-694_20260710_081100,0.0,0.0,1.127242,0.031035,45.2907030954,3.09656986582,True,mc/mc_beta0_s,False,,,,5.4116167008
mc/mc_beta0_s,mc_beta0_s_gid-70_20260710_074900,0.0,0.0,1.128922,0.037315,36.1823179705,3.18824160144,True,mc/mc_beta0_s,False,,,,5.94387426711
mc/mc_beta0_s,mc_beta0_s_gid-1336_20260710_045705,0.0,0.0,1.131707,0.018207,77.6384548771,2.81832767913,True,mc/mc_beta0_s,False,,,,4.3407294581
mc/mc_beta0_s,mc_beta0_s_gid-184_20260710_074851,0.0,0.0,1.132643,0.037625,35.7201362361,3.19294843,True,mc/mc_beta0_s,False,,,,5.9773712821
mc/mc_beta0_s,mc_beta0_s_gid-1354_20260710_050506,0.0,0.0,1.134786,0.01358,97.1630937399,2.67872571669,True,mc/mc_beta0_s,False,,,,3.95487224889
mc/mc_infill_2_3_b,mc_infill_2_3_b_gid-55_20260715_002635,0.0,0.0,1.135112,-0.013955,489.143833618,1.20468190494,True,mc/mc_infill_2_3_b,True,0.099308,485.587868,1.209817,1.35873843577
mc/mc_infill_3_4,mc_infill_3_4_gid-217_20260714_174609,0.0,0.0,1.136649,0.0075,134.100149679,2.45362541047,True,mc/mc_infill_3_4,False,,,,3.43377448495
mc/mc_beta0_s,mc_beta0_s_gid-1324_20260710_050535,0.0,0.0,1.138569,0.001375,190.326556453,2.17424691202,True,mc/mc_beta0_s,False,,,,2.88323106122
mc/mc_beta0_s,mc_beta0_s_gid-811_20260710_080457,0.0,0.0,1.140065,0.028117,50.1830095366,3.04934482703,True,mc/mc_beta0_s,False,,,,5.19325800132
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-226_20260711_034813,0.0,0.0,1.1416,-0.007023,316.005101391,1.6978417851,True,mc/mc_low_rmu_s_beta0_0,False,,,,2.08587481991
mc/mc_infill_2_3,mc_infill_2_3_gid-277_20260715_041624,0.0,0.0,1.141975,-0.014548,499.417392918,1.16977421578,True,mc/mc_infill_2_3,True,0.039518,499.417393,1.169774,1.31350041672
mc/mc_beta0_s,mc_beta0_s_gid-169_20260710_074827,0.0,0.0,1.143092,0.016836,81.9918561252,2.7850083849,True,mc/mc_beta0_s,False,,,,4.25042965908
mc/mc_beta0_s,mc_beta0_s_gid-871_20260710_080356,0.0,0.0,1.144567,0.008022,129.140222891,2.48086974211,True,mc/mc_beta0_s,False,,,,3.49837355713
mc/mc_beta0_s,mc_beta0_s_gid-250_20260710_075152,0.0,0.0,1.147339,0.000719,195.821749758,2.14904931873,True,mc/mc_beta0_s,False,,,,2.84459235499
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-91_20260711_034023,0.0,0.0,1.147849,0.012033,103.806601165,2.63403620403,True,mc/mc_low_rmu_s_beta0_0,False,,,,3.85272662364
mc/mc_beta0_s,mc_beta0_s_gid-586_20260710_075629,0.0,0.0,1.148472,0.034169,39.7853715091,3.15059458008,True,mc/mc_beta0_s,False,,,,5.71809089042
mc/mc_beta0_s,mc_beta0_s_gid-430_20260710_075453,0.0,0.0,1.15335,0.006376,140.133953124,2.41924421531,True,mc/mc_beta0_s,False,,,,3.37543812556
mc/mc_beta0_s,mc_beta0_s_gid-826_20260710_080623,0.0,0.0,1.154491,0.021669,64.9052339303,2.9184359255,True,mc/mc_beta0_s,False,,,,4.68356300913
mc/mc_infill_2_3_b,mc_infill_2_3_b_gid-67_20260715_002403,0.0,0.0,1.154907,-0.012136,425.771057005,1.36914979046,True,mc/mc_infill_2_3_b,True,0.277246,424.808951,1.370814,1.59939660673
mc/mc_beta0_s,mc_beta0_s_gid-640_20260710_075952,0.0,0.0,1.157566,0.016185,83.4309457619,2.77351788094,True,mc/mc_beta0_s,False,,,,4.22802587259
mc/mc_beta0_s,mc_beta0_s_gid-1483_20260710_050545,0.0,0.0,1.159487,0.030266,45.5023929393,3.09328013139,True,mc/mc_beta0_s,False,,,,5.41357097521
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-7_20260711_033441,0.0,0.0,1.16243,-0.014788,494.398433928,1.17925190847,True,mc/mc_low_rmu_s_beta0_0,False,,,,1.37649887975
mc/mc_beta0_s,mc_beta0_s_gid-832_20260710_081327,0.0,0.0,1.16416,0.032145,42.297889437,3.1247282086,True,mc/mc_beta0_s,False,,,,5.58026791376
mc/mc_infill_2_3,mc_infill_2_3_gid-85_20260715_041020,0.0,0.0,1.167111,-0.005438,277.641149012,1.82599244123,True,mc/mc_infill_2_3,True,0.181497,277.641149,1.825992,2.30931541861
mc/mc_beta0_s,mc_beta0_s_gid-1234_20260710_045648,0.0,0.0,1.167593,0.028634,48.1284893786,3.06762874181,True,mc/mc_beta0_s,False,,,,5.29398212725
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-427_20260711_035052,0.0,0.0,1.16774,-0.007921,323.299910004,1.67187208414,True,mc/mc_low_rmu_s_beta0_0,False,,,,2.06509431465
mc/mc_infill_2_3,mc_infill_2_3_gid-577_20260715_042001,0.0,0.0,1.172381,-0.010075,367.633151019,1.53423669904,True,mc/mc_infill_2_3,True,0.220401,367.633151,1.534237,1.86157148449
mc/mc_beta0_s,mc_beta0_s_gid-181_20260710_074851,0.0,0.0,1.172786,0.011855,102.073326398,2.64354876602,True,mc/mc_beta0_s,False,,,,3.89533275639
mc/mc_beta0_s,mc_beta0_s_gid-64_20260710_074755,0.0,0.0,1.174824,0.008393,122.390554288,2.51752728796,True,mc/mc_beta0_s,False,,,,3.60262739432
mc/mc_infill_3_4,mc_infill_3_4_gid-127_20260714_172903,0.0,0.0,1.175036,0.009352,116.186595834,2.55454135413,True,mc/mc_infill_3_4,False,,,,3.68595134492
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-238_20260711_034527,0.0,0.0,1.175702,0.000871,187.595143792,2.18322995741,True,mc/mc_low_rmu_s_beta0_0,False,,,,2.93064528259
mc/mc_beta0_s,mc_beta0_s_gid-883_20260710_080130,0.0,0.0,1.17698,0.018937,71.9192513528,2.86011832619,True,mc/mc_beta0_s,False,,,,4.50380468245
mc/mc_beta0_s,mc_beta0_s_gid-82_20260710_075028,0.0,0.0,1.179992,0.011416,103.637822337,2.63284118621,True,mc/mc_beta0_s,False,,,,3.87455421666
mc/mc_beta0_s,mc_beta0_s_gid-409_20260710_080553,0.0,0.0,1.180581,0.023407,58.8508808196,2.96890021804,True,mc/mc_beta0_s,False,,,,4.88535530505
mc/mc_beta0_s,mc_beta0_s_gid-538_20260710_081354,0.0,0.0,1.184175,0.033291,40.0141470972,3.14706739515,True,mc/mc_beta0_s,False,,,,5.71649335957
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-97_20260711_034023,0.0,0.0,1.18458,-0.017949,580.034925474,0.970419120995,True,mc/mc_low_rmu_s_beta0_0,False,,,,1.07418025119
mc/mc_beta0_s,mc_beta0_s_gid-1198_20260710_045434,0.0,0.0,1.186675,0.026867,50.8077099887,3.04148316423,True,mc/mc_beta0_s,False,,,,5.18654512601
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-166_20260711_034024,0.0,0.0,1.187097,-0.001415,212.044743688,2.07584797591,True,mc/mc_low_rmu_s_beta0_0,False,,,,2.74648719961
mc/mc_beta0_s,mc_beta0_s_gid-1231_20260710_045804,0.0,0.0,1.188527,0.036071,36.2485775884,3.18579928366,True,mc/mc_beta0_s,False,,,,5.95720206189
mc/mc_infill_2_3,mc_infill_2_3_gid-415_20260715_041950,0.0,0.0,1.188585,-0.013286,436.677619972,1.33843611138,True,mc/mc_infill_2_3,True,0.157772,435.969917,1.338208,1.57794385712
mc/mc_beta0_s,mc_beta0_s_gid-229_20260710_075124,0.0,0.0,1.191664,0.022891,59.5851053041,2.96191545363,True,mc/mc_beta0_s,False,,,,4.8661445116
mc/mc_infill_2_3,mc_infill_2_3_gid-13_20260715_040901,0.0,0.0,1.192001,-0.005319,267.168909291,1.86093544814,True,mc/mc_infill_2_3,True,0.041706,267.168909,1.860935,2.38653873127
mc/mc_beta0_s,mc_beta0_s_gid-1141_20260710_045243,0.0,0.0,1.192253,0.017755,74.886224602,2.83588536365,True,mc/mc_beta0_s,False,,,,4.43855182651
mc/mc_beta0_s,mc_beta0_s_gid-1438_20260710_050313,0.0,0.0,1.194673,0.025706,52.8822930626,3.02186034122,True,mc/mc_beta0_s,False,,,,5.10677965905
mc/mc_infill_3_4,mc_infill_3_4_gid-13_20260714_172235,0.0,0.0,1.197185,-0.003042,231.050101725,1.99741031667,True,mc/mc_infill_3_4,False,,,,2.61891573871
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-127_20260711_034025,0.0,0.0,1.199536,0.013227,92.5870662205,2.70552936203,True,mc/mc_low_rmu_s_beta0_0,False,,,,4.07333652879
mc/mc_beta0_s,mc_beta0_s_gid-643_20260710_080056,0.0,0.0,1.199894,0.013804,89.9225956581,2.72411965659,True,mc/mc_beta0_s,False,,,,4.12287880761
mc/mc_beta0_s,mc_beta0_s_gid-1048_20260710_045405,0.0,0.0,1.200568,0.032484,40.6971457489,3.13955131515,True,mc/mc_beta0_s,False,,,,5.68232729492
mc/mc_infill_2_3,mc_infill_2_3_gid-79_20260715_040906,0.0,0.0,1.201529,-0.013322,431.738704986,1.34917316938,True,mc/mc_infill_2_3,True,0.176959,431.738705,1.349173,1.60344176781
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-58_20260711_034023,0.0,0.0,1.202209,-0.012305,406.435970054,1.41928925109,True,mc/mc_low_rmu_s_beta0_0,False,,,,1.71368177181
mc/mc_beta0_s,mc_beta0_s_gid-817_20260710_080724,0.0,0.0,1.202315,0.031378,42.2960738739,3.12335225064,True,mc/mc_beta0_s,False,,,,5.5939235738
mc/mc_beta0_s,mc_beta0_s_gid-1018_20260710_045244,0.0,0.0,1.207153,0.033378,39.2473830438,3.15412130028,True,mc/mc_beta0_s,False,,,,5.76991063509
mc/mc_beta0_s,mc_beta0_s_gid-850_20260710_080552,0.0,0.0,1.20966,0.031194,42.3505213157,3.12253040868,True,mc/mc_beta0_s,False,,,,5.59357067609
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-400_20260711_034534,0.0,0.0,1.210407,-0.000776,198.379628197,2.13205172392,True,mc/mc_low_rmu_s_beta0_0,False,,,,2.86581573947
mc/mc_infill_2_3,mc_infill_2_3_gid-235_20260715_041559,0.0,0.0,1.210651,-0.014944,472.18988458,1.23451413794,True,mc/mc_infill_2_3,True,0.028386,472.189885,1.234514,1.45971641447
