income_threshold,population_below,population_fraction,income_below,income_fraction,country,decile
73.36341134918631,1266930.2750000001,0.00016412234461376648,92946326.91556273,1.0355510617736711e-06,Burundi,1
84.70148088361496,1778140.2750000001,0.000230346181430677,136246570.95807552,1.5179758673716138e-06,Central African Republic,1
100.35607151965159,11377140.075000001,0.0014738324128439058,1099564481.403997,1.2250674168554701e-05,"Congo, Dem. Rep.",1
102.88146929981764,14650595.986999992,0.0018978867352234335,1436342435.3187304,1.6002847915831342e-05,Mozambique,1
104.1779007781484,15657573.086999992,0.0020283338844356274,1541247195.728398,1.7171632521230897e-05,Haiti,1
106.62168395070347,16924503.361999992,0.002192456229049394,1676329435.0970259,1.8676636118974206e-05,Burundi,2
126.41900395423295,19949575.011999995,0.00258433403134016,2058755979.9802139,2.293739851536227e-05,Madagascar,1
129.7504124120191,21216505.286999993,0.0027484563759539262,2223140705.6587367,2.47688724731273e-05,Burundi,3
135.61290419133857,21727715.286999993,0.0028146802127708365,2292467378.410391,2.5541267810948776e-05,Central African Republic,2
155.16704028240935,22994645.56199999,0.002978802557384603,2489053199.42632,2.7731506655649248e-05,Burundi,4
158.32592166175974,32593645.361999992,0.004222288788797832,4008823689.7923675,4.4663858876308537e-05,"Congo, Dem. Rep.",2
162.46089051442914,34511972.77799998,0.004470795276852816,4320476870.093969,4.813610778034164e-05,Malawi,1
166.63732989674986,35566435.57799998,0.00460739388094253,4496189735.5614195,5.009379293520972e-05,South Sudan,1
173.85593639034025,36077645.57799998,0.00467361771775944,4585066628.803525,5.108400485878167e-05,Central African Republic,3
173.9771549107902,36329701.09399998,0.004706269824252636,4628918530.356776,5.157257589457438e-05,"Gambia, The",1
174.5257287172431,39603157.005999975,0.005130324146632163,5200220808.822342,5.793767606250448e-05,Mozambique,2
181.18319778880195,40870087.28099997,0.00529444649124593,5429767287.422288,6.04951423715984e-05,Burundi,5
184.80704271450156,43895158.93099997,0.005686324293536695,5988821833.058266,6.672378579984989e-05,Madagascar,2
189.02244277452473,44111240.832999974,0.005714316258907357,6029666162.013671,6.717884830334857e-05,Lesotho,1
191.16999279348823,46126534.63299997,0.005975384093553258,6414929863.236432,7.147122055842994e-05,Zambia,1
195.3203695853286,47133511.73299997,0.006105831242765453,6611613002.572394,7.366254366426245e-05,Haiti,2
196.44141800997812,47609072.53299997,0.006167436964124032,6705032840.474354,7.47033702955072e-05,Liberia,1
197.6423685536215,50099778.18299997,0.006490091224652106,7197301804.5102415,8.01879296675918e-05,Niger,1
204.1746903015957,59698777.982999966,0.007733577456065334,9157174615.880322,0.0001020236324662552,"Congo, Dem. Rep.",3
210.20919508150047,60965708.257999964,0.0078976998006791,9423495009.212456,0.00010499081121596107,Burundi,6
210.69445674634724,61476918.257999964,0.00796392363749601,9531204122.445755,0.0001061908402033655,Central African Republic,4
215.35221318207053,61548068.55799996,0.007973140683048082,9546526497.019323,0.0001063615527186967,Comoros,1
223.18046475042638,65941313.21799997,0.008542256149217766,10527012882.000454,0.00011728553165058316,Uganda,1
225.83523400814136,68175261.78299998,0.008831649246430128,11031517178.93938,0.00012290640960995746,Burkina Faso,1
228.3385745719534,71200333.43299998,0.009223527048720894,11722257727.478409,0.0001306022178488299,Madagascar,3
229.3438586125274,74473789.34499997,0.009647581371100422,12473004737.334476,0.00013896658133665362,Mozambique,3
232.61116424443327,75374942.86199997,0.009764319782823183,12682623106.086813,0.0001413020208481681,Togo,1
233.6165059311868,77293270.27799997,0.01001282627087817,13130776054.244732,0.00014629506658437596,Malawi,2
240.856695342864,79539487.57799996,0.010303808700663426,13671792530.144703,0.0001523227408846657,Syrian Arab Republic,1
246.71418542874414,79748873.27799997,0.010330933217845395,13723450952.56063,0.0001528982873958362,Guinea-Bissau,1
246.88915386056706,81015803.55299997,0.010495055562459162,14036242296.155716,0.00015638321701836732,Burundi,7
248.4702686104221,90614803.35299997,0.011738541793872391,16421308354.853104,0.0001829561626252246,"Congo, Dem. Rep.",4
252.8221040452303,91126013.35299997,0.011804765630689301,16550553542.662066,0.00018439613336862252,Central African Republic,5
259.7448030121375,93616719.00299998,0.012127419891217376,17197501391.082535,0.00019160403015783747,Niger,2
262.5080859292599,95462250.60299997,0.01236649616812677,17681968358.920498,0.0001970016644655884,Chad,1
263.63125486327147,96989387.40299997,0.012564326527940348,18084569349.85238,0.00020148719818667226,Zimbabwe,1
266.5174344871231,100014459.05299997,0.012956204330231114,18890803685.15011,0.00021046976747867254,Madagascar,4
